index,use,day,tank,treat,date,trapped,num,sex,length,hardness
7T,Y,7,B,T,7/21/2001,FALSE,5,M,26,3
7T,Y,7,B,T,7/21/2001,FALSE,6,F,27,3
7T,Y,7,B,T,7/21/2001,FALSE,7,M,26,3
7T,Y,7,B,T,7/21/2001,FALSE,8,M,29,3
7T,Y,7,B,T,7/21/2001,FALSE,9,F,31,3
7T,Y,7,B,T,7/21/2001,FALSE,10,M,33,3
7T,Y,7,B,T,7/21/2001,FALSE,11,M,24,3
7T,Y,7,B,T,7/21/2001,FALSE,12,M,25,3
7T,Y,7,B,T,7/21/2001,FALSE,13,F,25,3
7T,Y,7,B,T,7/21/2001,FALSE,14,M,22,3
7T,Y,7,B,T,7/21/2001,FALSE,15,M,31,3
7T,Y,7,B,T,7/21/2001,FALSE,16,F,31,3
7T,Y,7,B,T,7/21/2001,FALSE,17,M,24,3
7T,Y,7,B,T,7/21/2001,FALSE,18,F,26,3
7T,Y,7,B,T,7/21/2001,FALSE,19,F,22,3
7T,Y,7,B,T,7/21/2001,FALSE,20,M,27,3
7T,Y,7,B,T,7/21/2001,FALSE,21,M,24,3
7T,Y,7,B,T,7/21/2001,TRUE,1,F,22,3
7T,Y,7,B,T,7/21/2001,TRUE,2,M,32,3
7T,Y,7,B,T,7/21/2001,TRUE,4,F,25,3
7T,Y,7,B,T,7/21/2001,TRUE,5,M,27,3
7T,Y,7,B,T,7/21/2001,TRUE,6,F,40,3
7T,Y,7,B,T,7/21/2001,TRUE,7,M,33,3
7T,Y,7,B,T,7/21/2001,TRUE,8,F,21,3
8C,Y,8,A,C,7/22/2001,FALSE,1,F,27,3
8C,Y,8,A,C,7/22/2001,FALSE,2,F,29,3
8C,Y,8,A,C,7/22/2001,FALSE,3,M,31,2
8C,Y,8,A,C,7/22/2001,FALSE,4,M,33,3
8C,Y,8,A,C,7/22/2001,FALSE,5,M,30,3
8C,Y,8,A,C,7/22/2001,FALSE,6,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,7,F,28,2
8C,Y,8,A,C,7/22/2001,FALSE,8,M,29,3
8C,Y,8,A,C,7/22/2001,FALSE,9,M,28,3
8C,Y,8,A,C,7/22/2001,FALSE,10,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,11,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,12,F,29,3
8C,Y,8,A,C,7/22/2001,FALSE,13,F,29,3
8C,Y,8,A,C,7/22/2001,FALSE,14,M,24,3
8C,Y,8,A,C,7/22/2001,FALSE,15,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,16,F,26,3
8C,Y,8,A,C,7/22/2001,FALSE,17,M,21,3
8C,Y,8,A,C,7/22/2001,FALSE,18,F,30,3
8C,Y,8,A,C,7/22/2001,FALSE,19,M,24,3
